story_id,global_order,epic_id,dependency_story_ids,dependency_orders,backward_only,dependency_reason,prerequisite_receipt_ids,decision_or_blocker_ids,cross_repository_dependency_ids,implementation_gate_status
ST-01.01,1,EP-01,,,true,terminal increments of prerequisite Epics,,HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-01.02,2,EP-01,ST-01.01,1,true,previous vertical increment in the same Epic,ST-01.01:StoryCompletionReceipt,BD-004;BD-014;HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-01.03,3,EP-01,ST-01.02,2,true,previous vertical increment in the same Epic,ST-01.02:StoryCompletionReceipt,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-01.04,4,EP-01,ST-01.03,3,true,previous vertical increment in the same Epic,ST-01.03:StoryCompletionReceipt,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-02.01,5,EP-02,ST-01.04,4,true,terminal increments of prerequisite Epics,ST-01.04:StoryCompletionReceipt,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.02,6,EP-02,ST-02.01,5,true,previous vertical increment in the same Epic,ST-02.01:StoryCompletionReceipt,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.03,7,EP-02,ST-02.02,6,true,previous vertical increment in the same Epic,ST-02.02:StoryCompletionReceipt,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.04,8,EP-02,ST-02.03,7,true,previous vertical increment in the same Epic,ST-02.03:StoryCompletionReceipt,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.05,9,EP-02,ST-02.04,8,true,previous vertical increment in the same Epic,ST-02.04:StoryCompletionReceipt,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-03.01,10,EP-03,ST-01.04;ST-02.05,4;9,true,terminal increments of prerequisite Epics,ST-01.04:StoryCompletionReceipt;ST-02.05:StoryCompletionReceipt,BD-004;BD-008,XDEP-001;XDEP-006,EVIDENCE_GATED
ST-03.02,11,EP-03,ST-03.01,10,true,previous vertical increment in the same Epic,ST-03.01:StoryCompletionReceipt,,XDEP-001;XDEP-006,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-03.03,12,EP-03,ST-03.02,11,true,previous vertical increment in the same Epic,ST-03.02:StoryCompletionReceipt,BD-014,XDEP-001;XDEP-006,EVIDENCE_GATED
ST-03.04,13,EP-03,ST-03.03,12,true,previous vertical increment in the same Epic,ST-03.03:StoryCompletionReceipt,,XDEP-001;XDEP-006,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-03.05,14,EP-03,ST-03.04,13,true,previous vertical increment in the same Epic,ST-03.04:StoryCompletionReceipt,,XDEP-001;XDEP-006,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-04.01,15,EP-04,ST-03.05,14,true,terminal increments of prerequisite Epics,ST-03.05:StoryCompletionReceipt,BD-010,XDEP-001,EVIDENCE_GATED
ST-04.02,16,EP-04,ST-04.01,15,true,previous vertical increment in the same Epic,ST-04.01:StoryCompletionReceipt,,XDEP-001,PLANNING_COMPLETE_IMPLEMENTATION_PROHIBITED
ST-04.03,17,EP-04,ST-04.02,16,true,previous vertical increment in the same Epic,ST-04.02:StoryCompletionReceipt,,XDEP-001,PLANNING_COMPLETE_IMPLEMENTATION_PROHIBITED
ST-04.04,18,EP-04,ST-04.03,17,true,previous vertical increment in the same Epic,ST-04.03:StoryCompletionReceipt,BD-014,XDEP-001,EVIDENCE_GATED
ST-04.05,19,EP-04,ST-04.04,18,true,previous vertical increment in the same Epic,ST-04.04:StoryCompletionReceipt,BD-010,XDEP-001,EVIDENCE_GATED
ST-05.01,20,EP-05,ST-04.05,19,true,terminal increments of prerequisite Epics,ST-04.05:StoryCompletionReceipt,BD-004;BD-008;BD-010;HD-007,XDEP-001,BLOCKED_PENDING_HUMAN_DECISION
ST-05.02,21,EP-05,ST-05.01,20,true,previous vertical increment in the same Epic,ST-05.01:StoryCompletionReceipt,BD-010;HD-007,XDEP-001,BLOCKED_PENDING_HUMAN_DECISION
ST-05.03,22,EP-05,ST-05.02,21,true,previous vertical increment in the same Epic,ST-05.02:StoryCompletionReceipt,BD-010;HD-007,XDEP-001,BLOCKED_PENDING_HUMAN_DECISION
ST-05.04,23,EP-05,ST-05.03,22,true,previous vertical increment in the same Epic,ST-05.03:StoryCompletionReceipt,BD-010;HD-007,XDEP-001,BLOCKED_PENDING_HUMAN_DECISION
ST-05.05,24,EP-05,ST-05.04,23,true,previous vertical increment in the same Epic,ST-05.04:StoryCompletionReceipt,BD-010;HD-007,XDEP-001,BLOCKED_PENDING_HUMAN_DECISION
ST-06.01,25,EP-06,ST-02.05;ST-03.05;ST-04.05,9;14;19,true,terminal increments of prerequisite Epics,ST-02.05:StoryCompletionReceipt;ST-03.05:StoryCompletionReceipt;ST-04.05:StoryCompletionReceipt,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-06.02,26,EP-06,ST-06.01,25,true,previous vertical increment in the same Epic,ST-06.01:StoryCompletionReceipt,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-06.03,27,EP-06,ST-06.02,26,true,previous vertical increment in the same Epic,ST-06.02:StoryCompletionReceipt,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-06.04,28,EP-06,ST-06.03,27,true,previous vertical increment in the same Epic,ST-06.03:StoryCompletionReceipt,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-06.05,29,EP-06,ST-06.04,28,true,previous vertical increment in the same Epic,ST-06.04:StoryCompletionReceipt,BD-004;BD-008;BD-010;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-07.01,30,EP-07,ST-03.05;ST-04.05;ST-06.05,14;19;29,true,terminal increments of prerequisite Epics,ST-03.05:StoryCompletionReceipt;ST-04.05:StoryCompletionReceipt;ST-06.05:StoryCompletionReceipt,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,EVIDENCE_GATED
ST-07.02,31,EP-07,ST-07.01,30,true,previous vertical increment in the same Epic,ST-07.01:StoryCompletionReceipt,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,EVIDENCE_GATED
ST-07.03,32,EP-07,ST-07.02,31,true,previous vertical increment in the same Epic,ST-07.02:StoryCompletionReceipt,BD-007;BD-008;BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,EVIDENCE_GATED
ST-07.04,33,EP-07,ST-07.03,32,true,previous vertical increment in the same Epic,ST-07.03:StoryCompletionReceipt,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,EVIDENCE_GATED
ST-08.01,34,EP-08,ST-02.05;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04,9;14;19;24;29;33,true,terminal increments of prerequisite Epics,ST-02.05:StoryCompletionReceipt;ST-03.05:StoryCompletionReceipt;ST-04.05:StoryCompletionReceipt;ST-05.05:StoryCompletionReceipt;ST-06.05:StoryCompletionReceipt;ST-07.04:StoryCompletionReceipt,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-08.02,35,EP-08,ST-08.01,34,true,previous vertical increment in the same Epic,ST-08.01:StoryCompletionReceipt,BD-004;BD-007;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-08.03,36,EP-08,ST-08.02,35,true,previous vertical increment in the same Epic,ST-08.02:StoryCompletionReceipt,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-08.04,37,EP-08,ST-08.03,36,true,previous vertical increment in the same Epic,ST-08.03:StoryCompletionReceipt,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-08.05,38,EP-08,ST-08.04,37,true,previous vertical increment in the same Epic,ST-08.04:StoryCompletionReceipt,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-08.06,39,EP-08,ST-08.05,38,true,previous vertical increment in the same Epic,ST-08.05:StoryCompletionReceipt,BD-004;BD-008;BD-014;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-08.07,40,EP-08,ST-08.06,39,true,previous vertical increment in the same Epic,ST-08.06:StoryCompletionReceipt,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-09.01,41,EP-09,ST-01.04;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07,4;14;19;24;29;33;40,true,terminal increments of prerequisite Epics,ST-01.04:StoryCompletionReceipt;ST-03.05:StoryCompletionReceipt;ST-04.05:StoryCompletionReceipt;ST-05.05:StoryCompletionReceipt;ST-06.05:StoryCompletionReceipt;ST-07.04:StoryCompletionReceipt;ST-08.07:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-09.02,42,EP-09,ST-09.01,41,true,previous vertical increment in the same Epic,ST-09.01:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-09.03,43,EP-09,ST-09.02,42,true,previous vertical increment in the same Epic,ST-09.02:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-09.04,44,EP-09,ST-09.03,43,true,previous vertical increment in the same Epic,ST-09.03:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-09.05,45,EP-09,ST-09.04,44,true,previous vertical increment in the same Epic,ST-09.04:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-09.06,46,EP-09,ST-09.05,45,true,previous vertical increment in the same Epic,ST-09.05:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-09.07,47,EP-09,ST-09.06,46,true,previous vertical increment in the same Epic,ST-09.06:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-09.08,48,EP-09,ST-09.07,47,true,previous vertical increment in the same Epic,ST-09.07:StoryCompletionReceipt,,XDEP-001;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.01,49,EP-10,ST-01.04;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07;ST-09.08,4;14;19;24;29;33;40;48,true,terminal increments of prerequisite Epics,ST-01.04:StoryCompletionReceipt;ST-03.05:StoryCompletionReceipt;ST-04.05:StoryCompletionReceipt;ST-05.05:StoryCompletionReceipt;ST-06.05:StoryCompletionReceipt;ST-07.04:StoryCompletionReceipt;ST-08.07:StoryCompletionReceipt;ST-09.08:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.02,50,EP-10,ST-10.01,49,true,previous vertical increment in the same Epic,ST-10.01:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.03,51,EP-10,ST-10.02,50,true,previous vertical increment in the same Epic,ST-10.02:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.04,52,EP-10,ST-10.03,51,true,previous vertical increment in the same Epic,ST-10.03:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.05,53,EP-10,ST-10.04,52,true,previous vertical increment in the same Epic,ST-10.04:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.06,54,EP-10,ST-10.05,53,true,previous vertical increment in the same Epic,ST-10.05:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.07,55,EP-10,ST-10.06,54,true,previous vertical increment in the same Epic,ST-10.06:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.08,56,EP-10,ST-10.07,55,true,previous vertical increment in the same Epic,ST-10.07:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.09,57,EP-10,ST-10.08,56,true,previous vertical increment in the same Epic,ST-10.08:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.10,58,EP-10,ST-10.09,57,true,previous vertical increment in the same Epic,ST-10.09:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.11,59,EP-10,ST-10.10,58,true,previous vertical increment in the same Epic,ST-10.10:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.12,60,EP-10,ST-10.11,59,true,previous vertical increment in the same Epic,ST-10.11:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.13,61,EP-10,ST-10.12,60,true,previous vertical increment in the same Epic,ST-10.12:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-10.14,62,EP-10,ST-10.13,61,true,previous vertical increment in the same Epic,ST-10.13:StoryCompletionReceipt,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,CONDITIONAL_EXTERNAL_DEPENDENCY
ST-11.01,63,EP-11,ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07;ST-09.08;ST-10.14,14;19;24;29;33;40;48;62,true,terminal increments of prerequisite Epics,ST-03.05:StoryCompletionReceipt;ST-04.05:StoryCompletionReceipt;ST-05.05:StoryCompletionReceipt;ST-06.05:StoryCompletionReceipt;ST-07.04:StoryCompletionReceipt;ST-08.07:StoryCompletionReceipt;ST-09.08:StoryCompletionReceipt;ST-10.14:StoryCompletionReceipt,BD-008;BD-014;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,BLOCKED_PENDING_HUMAN_DECISION
ST-11.02,64,EP-11,ST-11.01,63,true,previous vertical increment in the same Epic,ST-11.01:StoryCompletionReceipt,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,BLOCKED_PENDING_HUMAN_DECISION
ST-11.03,65,EP-11,ST-11.02,64,true,previous vertical increment in the same Epic,ST-11.02:StoryCompletionReceipt,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,BLOCKED_PENDING_HUMAN_DECISION
ST-12.01,66,EP-12,ST-06.05;ST-07.04;ST-08.07;ST-09.08;ST-10.14;ST-11.03,29;33;40;48;62;65,true,terminal increments of prerequisite Epics,ST-06.05:StoryCompletionReceipt;ST-07.04:StoryCompletionReceipt;ST-08.07:StoryCompletionReceipt;ST-09.08:StoryCompletionReceipt;ST-10.14:StoryCompletionReceipt;ST-11.03:StoryCompletionReceipt,HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-12.02,67,EP-12,ST-12.01,66,true,previous vertical increment in the same Epic,ST-12.01:StoryCompletionReceipt,HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-12.03,68,EP-12,ST-12.02,67,true,previous vertical increment in the same Epic,ST-12.02:StoryCompletionReceipt,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-12.04,69,EP-12,ST-12.03,68,true,previous vertical increment in the same Epic,ST-12.03:StoryCompletionReceipt,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
