item_type,item_id,scope,title,verdict,concrete_repository_evidence,verified_gap_or_required_action
DECISION,D001,F01,Governed contract protocol with deterministic boundary services,PARTIALLY_IMPLEMENTED,"governance/DECISION_REGISTER.json; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; contracts/schemas/; scripts/validate_package.py","Decision is modeled by draft artifacts; no boundary-service runtime exists."
DECISION,D002,F02,Exclusive Content Harness ownership of Visual Asset Demand,PARTIALLY_IMPLEMENTED,"governance/AUTHORITY_MATRIX.yaml; contracts/schemas/visual-asset-demand.schema.yaml; conformance/authority-tests/CASES.yaml","Domain authority is declared; nested field ownership is not schema-enforced and no product adapter is present."
DECISION,D003,F03,Immutable typed contract family with common envelope,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-envelope.schema.yaml; governance/MESSAGE_TYPE_REGISTRY.yaml; contracts/schemas/","Twenty-five draft schemas exist; canonical IDs versions immutability and runtime validation are incomplete."
DECISION,D004,F04,Stable protocol-owned external lifecycle,PARTIALLY_IMPLEMENTED,"governance/LIFECYCLE_MACHINE.yaml; conformance/lifecycle-tests/CASES.yaml","State machine is declarative and has no executable transition or projection engine."
DECISION,D005,F05,Typed supersession and selective invalidation,PARTIALLY_IMPLEMENTED,"contracts/schemas/demand-supersession.schema.yaml; contracts/schemas/selective-invalidation-receipt.schema.yaml","Shapes exist; authority validation impact execution and stale-promotion prevention are absent."
DECISION,D006,F06,Split production acceptance and consumption acknowledgement,PARTIALLY_IMPLEMENTED,"contracts/schemas/asset-result-contract.schema.yaml; contracts/schemas/result-acknowledgement.schema.yaml; governance/AUTHORITY_MATRIX.yaml","Split is declared but the result schema incorrectly carries downstream_consumption_authorized and no workflow exists."
DECISION,D007,F07,Split budget authority and execution allocation,PARTIALLY_IMPLEMENTED,"contracts/schemas/budget-authorization.schema.yaml; contracts/schemas/budget-escalation-request.schema.yaml; contracts/schemas/budget-escalation-response.schema.yaml","Draft contracts exist; hard-ceiling enforcement allocation and receipts are not implemented."
DECISION,D008,F08,Authoritative cancellation with safe checkpointing,PARTIALLY_IMPLEMENTED,"contracts/schemas/cancellation-request.schema.yaml; contracts/schemas/cancellation-receipt.schema.yaml; conformance/resilience-tests/CASES.yaml","Contracts and expectations exist; checkpoint race and stale-output behavior are absent."
DECISION,D009,F09,Protocol-owned failure taxonomy,PARTIALLY_IMPLEMENTED,"governance/FAILURE_TAXONOMY.yaml; contracts/schemas/delegation-failure.schema.yaml","Taxonomy is a strong draft baseline but no classifier router or recovery runtime exists."
DECISION,D010,F10,Typed Delegation Sets for related assets,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-set.schema.yaml; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/fixtures/SCN-03.yaml","Open nested schema and fixture exist; member graph and set lifecycle behavior are absent."
DECISION,D011,F11,Governed compatibility negotiation and migration,PARTIALLY_IMPLEMENTED,"governance/COMPATIBILITY_POLICY.yaml; contracts/schemas/compatibility-manifest.schema.yaml; contracts/schemas/contract-migration.schema.yaml","Policy and shapes exist; negotiator adapters migrations and equivalence proof are absent."
DECISION,D012,F12,Typed non-binding amendment proposals,PARTIALLY_IMPLEMENTED,"contracts/schemas/amendment-proposal.schema.yaml; contracts/schemas/amendment-response.schema.yaml","Draft payloads exist; field-level authority policy and workflow are absent."
DECISION,D013,F13,Immutable results with post-completion authorization events,PARTIALLY_IMPLEMENTED,"contracts/schemas/invalidation-notice.schema.yaml; contracts/schemas/revocation-notice.schema.yaml; contracts/schemas/replacement-notice.schema.yaml","Notice shapes exist; persistence impact analysis and consumption blocking are absent."
DECISION,D014,F14,Authenticated principals and signed immutable messages,PARTIALLY_IMPLEMENTED,"governance/PRINCIPAL_AUTHORITY_REGISTRY.yaml; contracts/schemas/delegation-envelope.schema.yaml; contracts/schemas/delegation-audit-receipt.schema.yaml","Data shapes exist; identity signing replay protection validation order and audit ledger are absent."
DECISION,D015,F15,Control Tower projections SLOs and conformance suites,PARTIALLY_IMPLEMENTED,"governance/PROTOCOL_SLO_TARGETS.yaml; conformance/; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/EXPECTED_CONTROL_TOWER_PROJECTION.yaml","Expectations are declarative; no projection metrics runner or executable suite exists."
DECISION,D016,F16,Formal Delegation Implementation Authorization Gate,PARTIALLY_IMPLEMENTED,"governance/READINESS_HARD_GATES.yaml; handoff/DEVELOPMENT_CAPSULE_REQUIREMENTS.md","Gate criteria exist; required executable and deployment evidence is incomplete."
FR,FR-001,F01,Canonical delegation boundary,NEW_IMPLEMENTATION,"prd/05-features/F01-protocol-boundary.md","No supported runtime boundary or registered product adapters exist."
FR,FR-002,F01,Deterministic boundary responsibilities,NEW_IMPLEMENTATION,"prd/05-features/F01-protocol-boundary.md; scripts/validate_package.py","Package validation is offline only; no deterministic boundary pipeline exists."
FR,FR-003,F01,No third creative authority,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURAL_PROHIBITIONS.json; governance/AUTHORITY_MATRIX.yaml","Prohibition is documented but not enforced by code or tests."
FR,FR-004,F01,Independent product preservation,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml","Preservation contract exists; upstream code and deployment evidence are unavailable."
FR,FR-005,F01,Canonical shared ABI,IMPLEMENTED_BUT_ALIGN,"governance/MESSAGE_TYPE_REGISTRY.yaml; addendum/CONTRACT_FAMILY_INVENTORY.md","Machine-readable registry exists but must be generated from canonical schema metadata and normalized principals."
FR,FR-006,F01,Boundary receipts,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-audit-receipt.schema.yaml; contracts/examples/delegation-audit-receipt.example.yaml","Receipt shape validates; no immutable emission or persistence behavior exists."
FR,FR-007,F01,Transport independence,NEEDS_EMPIRICAL_PROTOTYPE,"governance/ASSUMPTION_REGISTER.yaml; prd/05-features/F01-protocol-boundary.md","No transport ports fixtures or equivalence tests exist; prototype HTTP queue and local adapters before freezing semantics."
FR,FR-008,F01,Architecture-preservation enforcement,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/ARCHITECTURAL_PROHIBITIONS.json","Rules exist but no architecture lint or authorization gate implementation evaluates changes."
FR,FR-009,F02,Exclusive demand ownership,NEW_IMPLEMENTATION,"governance/AUTHORITY_MATRIX.yaml; conformance/authority-tests/CASES.yaml","No authenticated producer or authority validator enforces demand creation and supersession."
FR,FR-010,F02,Immutable accepted demand,PARTIALLY_IMPLEMENTED,"contracts/schemas/visual-asset-demand.schema.yaml; contracts/schemas/delegation-envelope.schema.yaml","Identity fields exist but demand lacks canonical reference and embedded payload hash; no immutable store exists."
FR,FR-011,F02,Field-level authority map,IMPLEMENTED_AND_KEEP,"governance/AUTHORITY_MATRIX.yaml; packages/contracts/authority-registry.json; packages/validators/tests/test_authority.py","Every V1.1 demand value path has one Content Harness owner; VAE mutation is rejected by executable authority proof."
FR,FR-012,F02,Optional notes separation,PARTIALLY_IMPLEMENTED,"contracts/schemas/visual-asset-demand.schema.yaml; governance/AUTHORITY_MATRIX.yaml","Notes are optional but their non-authoritative status is not machine-readable or enforced."
FR,FR-013,F02,Permitted derived artifacts,NEW_IMPLEMENTATION,"governance/AUTHORITY_MATRIX.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml","No VAE repository or adapter is present to verify derivation without authority transfer."
FR,FR-014,F02,Amendment-only feedback,PARTIALLY_IMPLEMENTED,"contracts/schemas/amendment-proposal.schema.yaml; conformance/authority-tests/CASES.yaml","Proposal shape exists; no rejection of direct VAE demand mutation is executable."
FR,FR-015,F02,Demand identity propagation,PARTIALLY_IMPLEMENTED,"contracts/schemas/visual-asset-demand.schema.yaml; contracts/schemas/demand-supersession.schema.yaml; contracts/schemas/asset-result-contract.schema.yaml","Related messages use inconsistent string references and do not uniformly carry ID version hash and canonical reference."
FR,FR-016,F02,No implicit authority transfer,PARTIALLY_IMPLEMENTED,"governance/AUTHORITY_MATRIX.yaml; governance/PRINCIPAL_AUTHORITY_REGISTRY.yaml","Policy is declared but no adapter migration projection or transport validator enforces it."
FR,FR-017,F03,Common delegation envelope,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-envelope.schema.yaml; contracts/examples/delegation-envelope.example.yaml","Schema exists; canonical serialization signature coverage and mandatory idempotency policy are unspecified."
FR,FR-018,F03,Single-purpose immutable payloads,PARTIALLY_IMPLEMENTED,"governance/MESSAGE_TYPE_REGISTRY.yaml; contracts/schemas/","Single-purpose files exist; runtime immutability and canonical version identity are absent."
FR,FR-019,F03,Correlation and causation,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-envelope.schema.yaml","Fields exist but causation is optional without event-specific rules and no runtime validates the chain."
FR,FR-020,F03,Authority-scoped envelope,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-envelope.schema.yaml; governance/PRINCIPAL_AUTHORITY_REGISTRY.yaml","Claim shape and registry exist; principal-to-action validation is absent."
FR,FR-021,F03,Reference-and-hash payload transport,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-envelope.schema.yaml","Reference and hash fields exist; canonical storage resolver access control and hash verification are absent."
FR,FR-022,F03,Independent message versioning,PARTIALLY_IMPLEMENTED,"governance/MESSAGE_TYPE_REGISTRY.yaml; governance/COMPATIBILITY_POLICY.yaml","Versions are listed externally; schemas lack canonical IDs and payload-level version binding."
FR,FR-023,F03,Mandatory semantic-field protection,NEW_IMPLEMENTATION,"governance/COMPATIBILITY_POLICY.yaml; contracts/schemas/visual-asset-demand.schema.yaml","No negotiation runtime distinguishes unsupported mandatory fields; open objects permit silent additions."
FR,FR-024,F03,Message Type Registry,IMPLEMENTED_BUT_ALIGN,"governance/MESSAGE_TYPE_REGISTRY.yaml","Registry exists but requires normalized principal names canonical schema IDs and generated single-source publication."
FR,FR-025,F04,Canonical external states,PARTIALLY_IMPLEMENTED,"governance/LIFECYCLE_MACHINE.yaml","Nineteen states are declared; no executable state model or versioned generated binding exists."
FR,FR-026,F04,Authoritative state projection,NEW_IMPLEMENTATION,"governance/LIFECYCLE_MACHINE.yaml; contracts/schemas/visual-asset-event.schema.yaml","No projection engine exists and event state is dangerously open."
FR,FR-027,F04,Transition validation,NEW_IMPLEMENTATION,"governance/LIFECYCLE_MACHINE.yaml; conformance/lifecycle-tests/CASES.yaml","Static references are checked but no state transition is executed before persistence."
FR,FR-028,F04,Terminal-state enforcement,NEW_IMPLEMENTATION,"governance/LIFECYCLE_MACHINE.yaml; conformance/lifecycle-tests/CASES.yaml","Illegal cases are declarative only and no runtime rejects progress after terminal state."
FR,FR-029,F04,Exceptional lifecycle paths,PARTIALLY_IMPLEMENTED,"governance/LIFECYCLE_MACHINE.yaml","Exceptional states and transitions are declared; several timeout and policy behaviors lack executable rules."
FR,FR-030,F04,Timeout semantics,PARTIALLY_IMPLEMENTED,"prd/05-features/F04-external-lifecycle.md; governance/FAILURE_TAXONOMY.yaml","Timeout categories are described but not encoded as a deterministic timer and expiry model."
FR,FR-031,F04,Lifecycle reconstruction,NEW_IMPLEMENTATION,"contracts/schemas/delegation-audit-receipt.schema.yaml; governance/LIFECYCLE_MACHINE.yaml","No durable message store projection checkpoint or reconstruction process exists."
FR,FR-032,F04,Lifecycle receipts and observability,NEW_IMPLEMENTATION,"governance/PROTOCOL_SLO_TARGETS.yaml; contracts/schemas/delegation-audit-receipt.schema.yaml","Receipt schema and target exist; no emitter Control Tower adapter or freshness measurement exists."
FR,FR-033,F05,Explicit supersession link,PARTIALLY_IMPLEMENTED,"contracts/schemas/visual-asset-demand.schema.yaml; contracts/schemas/demand-supersession.schema.yaml","Link fields exist; exact demand identity and authenticated author enforcement are absent."
FR,FR-034,F05,Typed changed-field declaration,PARTIALLY_IMPLEMENTED,"contracts/schemas/demand-supersession.schema.yaml","Path and change class are required but not constrained to JSON Pointer or a closed change taxonomy."
FR,FR-035,F05,Supersession authority validation,NEW_IMPLEMENTATION,"governance/AUTHORITY_MATRIX.yaml; conformance/authority-tests/CASES.yaml","No field-level validator executes changed-path ownership rules."
FR,FR-036,F05,Selective invalidation request,PARTIALLY_IMPLEMENTED,"contracts/schemas/selective-invalidation-receipt.schema.yaml; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/fixtures/SCN-02.yaml","Receipt and scenario exist; request contract and VAE impact-analysis execution are absent."
FR,FR-037,F05,Stale-promotion prevention,NEW_IMPLEMENTATION,"governance/LIFECYCLE_MACHINE.yaml; conformance/resilience-tests/CASES.yaml","No coordinator or persistence guard blocks old results."
FR,FR-038,F05,Reusable-work preservation,NEW_IMPLEMENTATION,"contracts/schemas/selective-invalidation-receipt.schema.yaml","Receipt lists outputs but no lineage proof validation or VAE reuse implementation exists."
FR,FR-039,F05,Resumable execution correlation,NEW_IMPLEMENTATION,"prd/05-features/F05-supersession-invalidation.md","No execution or Visual Production Plan reference model links resume evidence."
FR,FR-040,F05,Completed-result revalidation,NEW_IMPLEMENTATION,"contracts/schemas/invalidation-notice.schema.yaml; governance/LIFECYCLE_MACHINE.yaml","No post-completion impact service or revalidation workflow exists."
FR,FR-041,F06,VAE production acceptance authority,PARTIALLY_IMPLEMENTED,"governance/AUTHORITY_MATRIX.yaml; contracts/schemas/asset-result-contract.schema.yaml","Production acceptance field is modeled; VAE implementation and authority enforcement are unavailable."
FR,FR-042,F06,Consumption acknowledgement authority,REPLACE_LEGACY_BEHAVIOR,"contracts/schemas/asset-result-contract.schema.yaml; contracts/schemas/result-acknowledgement.schema.yaml; governance/AUTHORITY_MATRIX.yaml","Remove downstream_consumption_authorized from the VAE result and establish it only through the authorized acknowledgement."
FR,FR-043,F06,Automatic acknowledgement,NEW_IMPLEMENTATION,"contracts/schemas/result-acknowledgement.schema.yaml; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/fixtures/SCN-01.yaml","No deterministic dependency and compatibility checker emits acknowledgements."
FR,FR-044,F06,Stable rejection taxonomy,PARTIALLY_IMPLEMENTED,"governance/FAILURE_TAXONOMY.yaml; contracts/schemas/result-acknowledgement.schema.yaml","Some stable codes exist but acknowledgement reason is an open object and no validator enforces codes."
FR,FR-045,F06,No duplicate visual evaluation,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/ARCHITECTURAL_PROHIBITIONS.json","Boundary prohibition exists; Content Harness acknowledgement code is unavailable for verification."
FR,FR-046,F06,Current dependency verification,NEW_IMPLEMENTATION,"contracts/examples/result-acknowledgement.example.yaml","Example check fields exist outside typed nested schema; no dependency resolver exists."
FR,FR-047,F06,Immutable acknowledgement record,PARTIALLY_IMPLEMENTED,"contracts/schemas/result-acknowledgement.schema.yaml; contracts/schemas/delegation-envelope.schema.yaml","Payload shape exists; exact downstream-state identity immutable persistence and audit link are absent."
FR,FR-048,F06,Completion after acknowledgement,PARTIALLY_IMPLEMENTED,"governance/LIFECYCLE_MACHINE.yaml; conformance/lifecycle-tests/CASES.yaml","Transition is declared; no engine enforces it or terminal partial-completion policy."
FR,FR-049,F07,Budget-envelope ownership,PARTIALLY_IMPLEMENTED,"contracts/schemas/budget-authorization.schema.yaml; governance/AUTHORITY_MATRIX.yaml","Owner and program are modeled; ceilings policy and authenticated authorization are open or absent."
FR,FR-050,F07,VAE allocation autonomy,NEW_IMPLEMENTATION,"governance/AUTHORITY_MATRIX.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml","Boundary is documented; no VAE code is present to verify allocation stays inside the envelope."
FR,FR-051,F07,Budget Program validation,PARTIALLY_IMPLEMENTED,"contracts/schemas/budget-authorization.schema.yaml; governance/COMPATIBILITY_POLICY.yaml","Program enum exists; caller profile certification and capability validation do not."
FR,FR-052,F07,Typed escalation request and response,PARTIALLY_IMPLEMENTED,"contracts/schemas/budget-escalation-request.schema.yaml; contracts/schemas/budget-escalation-response.schema.yaml","Top-level schemas exist but evidence outcomes and authority objects are untyped and no workflow exists."
FR,FR-053,F07,No silent overrun,NEW_IMPLEMENTATION,"prd/05-features/F07-budget-authority.md","No reservation admission or hard-ceiling enforcement component exists."
FR,FR-054,F07,Capability Learning authorization,PARTIALLY_IMPLEMENTED,"contracts/schemas/budget-authorization.schema.yaml; governance/PRINCIPAL_AUTHORITY_REGISTRY.yaml","Policy field and action vocabulary exist; no authorization evaluator exists."
FR,FR-055,F07,Quality-gate preservation,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURAL_PROHIBITIONS.json; governance/COMPATIBILITY_POLICY.yaml","Policy prohibition exists; no budget or degradation decision runtime enforces it."
FR,FR-056,F07,Final budget receipt,PARTIALLY_IMPLEMENTED,"contracts/schemas/asset-result-contract.schema.yaml; contracts/examples/asset-result-contract.example.yaml","Budget receipt is an open object with a partial example and no terminal accounting implementation."
FR,FR-057,F08,Cancellation authority,PARTIALLY_IMPLEMENTED,"contracts/schemas/cancellation-request.schema.yaml; governance/PRINCIPAL_AUTHORITY_REGISTRY.yaml","Request and permitted action exist; authenticated scope validation is absent."
FR,FR-058,F08,Block new work on acceptance,NEW_IMPLEMENTATION,"governance/LIFECYCLE_MACHINE.yaml","No VAE scheduler adapter or coordinator guard exists."
FR,FR-059,F08,Nearest safe checkpoint,NEW_IMPLEMENTATION,"contracts/examples/cancellation-receipt.example.yaml","Checkpoint evidence is example-only and VAE stop semantics are unspecified."
FR,FR-060,F08,Artifact disposition classification,PARTIALLY_IMPLEMENTED,"contracts/schemas/cancellation-receipt.schema.yaml; contracts/examples/cancellation-receipt.example.yaml","Retained and compute objects are open and no complete disposition taxonomy is enforced."
FR,FR-061,F08,Deadline policy semantics,PARTIALLY_IMPLEMENTED,"prd/05-features/F08-cancellation-deadlines.md; governance/FAILURE_TAXONOMY.yaml","Terms and codes exist but no typed deadline policy or timer behavior exists."
FR,FR-062,F08,Deterministic race ordering,NEW_IMPLEMENTATION,"prd/05-features/F08-cancellation-deadlines.md; conformance/resilience-tests/CASES.yaml","No persisted ordering or precedence algorithm exists."
FR,FR-063,F08,Stale-promotion prevention,NEW_IMPLEMENTATION,"governance/LIFECYCLE_MACHINE.yaml","No coordinator blocks outputs after accepted cancellation."
FR,FR-064,F08,Cancellation and compute receipt,PARTIALLY_IMPLEMENTED,"contracts/schemas/cancellation-receipt.schema.yaml; contracts/examples/cancellation-receipt.example.yaml","Receipt top-level shape exists; detailed typed checkpoint and cost evidence and emission are absent."
FR,FR-065,F09,Canonical failure families,IMPLEMENTED_BUT_ALIGN,"governance/FAILURE_TAXONOMY.yaml","Ten families are machine-readable; freeze semantics versions and generated bindings in the canonical registry."
FR,FR-066,F09,Stable failure codes,IMPLEMENTED_BUT_ALIGN,"governance/FAILURE_TAXONOMY.yaml","Codes and defaults exist; add immutable definitions severity terminality and recovery metadata per code."
FR,FR-067,F09,Responsibility and decision ownership,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-failure.schema.yaml; governance/FAILURE_TAXONOMY.yaml","Required authority object exists but nested fields are not schema-closed and no router validates them."
FR,FR-068,F09,Retry classification,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-failure.schema.yaml; contracts/examples/delegation-failure.example.yaml","Retry object and example exist; retry classes and enforcement are not canonicalized."
FR,FR-069,F09,Quality-round accounting,PARTIALLY_IMPLEMENTED,"governance/FAILURE_TAXONOMY.yaml; conformance/resilience-tests/CASES.yaml","Taxonomy distinguishes quality rounds; no durable counter or retry implementation exists."
FR,FR-070,F09,Invalidation and preservation semantics,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-failure.schema.yaml; contracts/examples/delegation-failure.example.yaml","Open invalidation object exists; lineage and downstream impact enforcement are absent."
FR,FR-071,F09,Partial-result protocol,PARTIALLY_IMPLEMENTED,"contracts/schemas/asset-result-contract.schema.yaml; governance/LIFECYCLE_MACHINE.yaml","Partial field and state exist; accepted roles failures and completion policy are not fully typed or executed."
FR,FR-072,F09,Product diagnostic extensions,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-failure.schema.yaml","Diagnostics reference exists; privacy access and stable extension rules are absent."
FR,FR-073,F10,Typed Delegation Set,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-set.schema.yaml; contracts/examples/delegation-set.example.yaml","Top-level identity exists; most set semantics are open nested objects and no immutable store exists."
FR,FR-074,F10,Member lifecycle independence,NEW_IMPLEMENTATION,"governance/LIFECYCLE_MACHINE.yaml; contracts/schemas/delegation-set.schema.yaml","No member state aggregation or independent lifecycle runtime exists."
FR,FR-075,F10,Shared constraint authority,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-set.schema.yaml; governance/AUTHORITY_MATRIX.yaml","Shared constraints are an untyped object and contradiction rules are absent."
FR,FR-076,F10,Typed dependency edges,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-set.schema.yaml; contracts/examples/delegation-set.example.yaml","Dependency objects are open and relationship vocabulary cycle rules and validation are absent."
FR,FR-077,F10,Completion policies,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-set.schema.yaml; contracts/examples/delegation-set.example.yaml","Example names one mode but schema does not type modes required roles or derivation rules."
FR,FR-078,F10,Set-level composition evaluation,NEW_IMPLEMENTATION,"reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/fixtures/SCN-03.yaml","Scenario exists; composition simulation remains product-owned and no evidence interface is defined."
FR,FR-079,F10,Set-level selective invalidation,NEW_IMPLEMENTATION,"contracts/schemas/delegation-set.schema.yaml; contracts/schemas/selective-invalidation-receipt.schema.yaml","No graph impact or set-evaluation invalidation implementation exists."
FR,FR-080,F10,Set cancellation and supersession,NEW_IMPLEMENTATION,"contracts/schemas/cancellation-request.schema.yaml; contracts/schemas/demand-supersession.schema.yaml","Schemas do not define complete set/member scope semantics and no coordinator exists."
FR,FR-081,F11,Product compatibility manifests,IMPLEMENTED_BUT_ALIGN,"packages/compatibility/manifest.json; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/*COMPATIBILITY_MANIFEST.yaml","Local candidate manifests carry message versions and behavioral capability evidence; external product releases and signatures remain blockers."
FR,FR-082,F11,Semantic capability negotiation,IMPLEMENTED_AND_KEEP,"packages/validators/cmf_delegation_validators/compatibility.py; packages/fixtures/compatibility/constitutional/","Deterministic negotiation rejects parse-only and missing evaluator evidence for mandatory domains."
FR,FR-083,F11,Pinned delegation profile,IMPLEMENTED_AND_KEEP,"packages/protocol/cmf_delegation_protocol/engine.py; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/NEGOTIATED_DELEGATION_PROFILE.yaml","Reference engine pins the behavioral profile immutably per correlation and blocks admission without it."
FR,FR-084,F11,Canonical compatibility verdicts,IMPLEMENTED_AND_KEEP,"governance/COMPATIBILITY_POLICY.yaml; conformance/compatibility-tests/CASES.yaml","Canonical verdicts now bind failure codes and executable evidence."
FR,FR-085,F11,Lossless deterministic adapters,IMPLEMENTED_AND_KEEP,"packages/validators/cmf_delegation_validators/compatibility.py; packages/fixtures/compatibility/constitutional/expression-moment-drop.invalid.json","Adapter claims are deterministic and fail closed on drop weaken synthesize flatten or reinterpret effects."
FR,FR-086,F11,Immutable contract migration,IMPLEMENTED_AND_KEEP,"packages/compatibility/migrations/visual-asset-demand-v1-to-v1.1.json; packages/validators/cmf_delegation_validators/compatibility.py","Owner-evidenced V1-to-V1.1 migration emits a new demand and traceable source/target hashes without synthesis."
