spec_id,canonical_path,quality_state,spec_present,writing_receipt_present,files_read_receipt_present,source_traceability_present,audit_eligible,audit_status
TS-AHP-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-001,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-REL-001,CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-002,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-002,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-004,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-003,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-003.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-007,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-005,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-008,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-014,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-014.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-006,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-006.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-013,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-013.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-SKL-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-SKL-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-009,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-009.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-INT-001,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-INT-007,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-007.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-INT-002,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-INT-003,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-003.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-INT-006,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-006.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-INT-004,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-004.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-011,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-011.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-INT-005,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-005.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-015,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-015.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-016,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-016.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-003,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-003.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-017,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-017.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-VID-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-019,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-019.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-ANI-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-ANI-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-DEL-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-DEL-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-EVAL-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-EVAL-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-STA-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-STA-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-VID-002,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-004,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-004.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-RET-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-RET-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-VAE-BOUND-001,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-BOUND-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-EVAL-002,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-EVAL-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-CAR-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-CAR-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-SPV-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-SPV-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-VID-003,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-003.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-005,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-005.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-VID-004,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-004.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-006,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-006.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-EVAL-003,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-EVAL-003.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-VID-005,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-005.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-007,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-007.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-CAS-001,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-VID-006,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-006.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-CAS-002,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-BATCH-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-BATCH-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-CAS-003,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-003.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-CAS-004,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-004.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-018,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-018.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-REL-002,CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-CAS-005,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-005.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-020,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-020.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-CAS-006,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-006.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-PM-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-PM-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-008,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-008.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
