nfr_id,group,requirement,verification
AIR-NFR-SEM-001,SEM,Activation domains and product sovereignty remain explicit.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEM-002,SEM,No downstream component invents missing human or Activative meaning.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEM-003,SEM,The psychological role inside a tension remains non-compensable for audience-activation claims.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEM-004,SEM,"The Matrix, Edge Product, Primitive coalition, archetype, and Final Script remain traceable.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEM-005,SEM,Format 02 remains deferred until current Harness validation.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-EPI-001,EPI,Every material claim has field-level epistemic state.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-EPI-002,EPI,Planned intent never silently becomes observed evidence.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-EPI-003,EPI,Rejected and superseded evidence remains replayable.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-EPI-004,EPI,"Claim ceilings are derived from evidence, not object names.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-EPI-005,EPI,Epistemic-state migrations are additive and independently validated.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PRIM-001,PRIM,Every Primitive Binding resolves to an exact YAML and hash.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PRIM-002,PRIM,Meaning and Experience planes remain distinct.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PRIM-003,PRIM,"Coalition compatibility, ordering, conflicts, misuse, signature, and Edge Product are explicit.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PRIM-004,PRIM,Primitive Evaluation Receipts are non-compensable.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PRIM-005,PRIM,Name similarity cannot substitute for Primitive semantics.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-ARCH-001,ARCH,Archetype selection follows coalition and role/tension approval.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-ARCH-002,ARCH,Historical prompts remain evidence until current ratification.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-ARCH-003,ARCH,Archetype coalitions declare category-native geometry and source fit.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-ARCH-004,ARCH,Final Script approval precedes composition.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-ARCH-005,ARCH,Rejected archetypes remain available as hard negatives.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-BRAND-001,BRAND,Brand Genesis and Brand Context versions are immutable references.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-BRAND-002,BRAND,Guest Voice DNA governs derivative language transformation.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-BRAND-003,BRAND,Visual DNA governs the recurring visual world without overriding category composition.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-BRAND-004,BRAND,RSCS layer receipts preserve signal through compression.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-BRAND-005,BRAND,"CCV variation preserves coalition, role, tension, and source.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SRC-001,SRC,Original source media is immutable and hash-addressed.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SRC-002,SRC,Brief-led and imported source admission remain distinct.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SRC-003,SRC,"Transcript, speaker, timing, keyframe, and tag corrections create successor versions.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SRC-004,SRC,Every derivative binds one exact source-package version.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SRC-005,SRC,Operator-provided source authority and route scope are recorded as provenance.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-INT-001,INT,"Interview Asset Contracts define states, anchors, branches, dose, and landing.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-INT-002,INT,The live policy responds to observed state rather than exhausting a static question list.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-INT-003,INT,Interviewer Resonance remains attributable and evidence-bearing.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-INT-004,INT,Pressure dose and counteractivation are evaluated before the next call.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-INT-005,INT,Human interviewer delivery and decisions are never synthesized during replay.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REACT-001,REACT,"Reaction Observations align text, timing, audio, visual, and reaction-tail evidence.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REACT-002,REACT,Non-reaction and wrong reaction are canonical outcomes.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REACT-003,REACT,Reaction Receipts bind the triggering call and alternative interpretations.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REACT-004,REACT,Expression Moment boundaries preserve premise and tail.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REACT-005,REACT,Observed AIP excludes unconfirmed planned fields.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRANSFER-001,TRANSFER,Every derivative carries an Activation Transfer Contract.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRANSFER-002,TRANSFER,Source fidelity is evaluated separately from literal wording retention.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRANSFER-003,TRANSFER,"Role, tension, coalition, Edge Product, and counteractivation survive transformation.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRANSFER-004,TRANSFER,Transfer failures invalidate affected derivatives without rewriting source truth.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRANSFER-005,TRANSFER,Audience reaction remains separate from source reaction.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-COMP-001,COMP,Composition precedes editing and generation.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-COMP-002,COMP,Visual research and real-life reference precede generation.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-COMP-003,COMP,Negative space is functional structure.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-COMP-004,COMP,Edge Integrity rejects automatic centroid placement and equalized hierarchy.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-COMP-005,COMP,Eligible Final Scripts create reusable 2D Animation Scene Packages.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-RET-001,RET,"Deterministic eligibility precedes lexical, dense, graph, image, or VLM ranking.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-RET-002,RET,JIT capsules include required contradiction and supersession evidence.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-RET-003,RET,"Every retrieval emits inclusion, exclusion, and ranking receipts.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-RET-004,RET,Role capsules contain Minimum Complete Context rather than the whole corpus.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-RET-005,RET,Retrieval changes are benchmarked on downstream decision quality.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-MOD-001,MOD,Every Programmed Model claim has an applicability envelope.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-MOD-002,MOD,Harness adaptation precedes unnecessary model scaling or training.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-MOD-003,MOD,Producing models cannot approve themselves.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-MOD-004,MOD,Fallback and escalation are tested outside the claim envelope.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-MOD-005,MOD,"Model, adapter, tokenizer, dataset, tool, and runtime identities are exact.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REL-001,REL,State transitions and receipts commit atomically.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REL-002,REL,"Resume, replay, retry, and semantic repair remain distinct.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REL-003,REL,Cancellation and late-result races preserve history.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REL-004,REL,Selective invalidation traverses typed descendants only.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-REL-005,REL,Known-good objects and implementations can be restored after regression.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-DET-001,DET,Canonical serialization and SHA-256 identity are used for governed records.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-DET-002,DET,Equal deterministic inputs produce equal deterministic records.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-DET-003,DET,No accepted state depends on an unrecorded default.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-DET-004,DET,Learned variance is measured by capability claim.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-DET-005,DET,Historical replay uses exact object and context versions.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRACE-001,TRACE,"Every object links to its source, lifecycle, actor, product, and evaluation.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRACE-002,TRACE,Primitive and archetype evidence paths are exact and hash-addressed.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRACE-003,TRACE,Human resolutions preserve scope and rationale.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRACE-004,TRACE,A complete source-to-asset and source-to-learning chain is exportable.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-TRACE-005,TRACE,Cross-product handoff receipts preserve both producer and consumer verdicts.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PERF-001,PERF,"Latency, cost, context, candidate, and compute budgets are explicit per node.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PERF-002,PERF,Candidate search stops by evidence-defined laws.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PERF-003,PERF,Parallel work cannot mutate shared semantic state without atomic coordination.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PERF-004,PERF,"Small specialized implementations report precision, speed, and consistency trade-offs.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PERF-005,PERF,Long-source processing uses bounded chunking without losing overlap evidence.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-OBS-001,OBS,Every lifecycle state and blocker is visible in product projections.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-OBS-002,OBS,"Operators can inspect candidates, receipts, Primitive bindings, and source lineage.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-OBS-003,OBS,Evaluation disagreement and claim ceilings are observable.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-OBS-004,OBS,HumanResolution capture is verifiable across language and direct-manipulation paths.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-OBS-005,OBS,"Production signals are separated by source, audience, relationship, and derivative domain.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEC-001,SEC,"Node file, network, tool, and state permissions are least-authority and explicit.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEC-002,SEC,"Secrets do not enter portable semantic objects, contexts, or receipts.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEC-003,SEC,External code and models are pinned and isolated.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEC-004,SEC,Hidden evaluator fixtures are unavailable to producers.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-SEC-005,SEC,"Commands reject traversal, injection, undeclared mutation, and unauthorized product writes.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-UX-001,UX,Operators see decisions and exceptions assigned to their authority.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-UX-002,UX,"Every blocker states cause, owner, affected descendants, and next admissible action.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-UX-003,UX,"Planned, observed, inferred, rejected, and superseded states are visually distinct.","Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-UX-004,UX,Direct manipulation and natural-language revision compile to the same typed evidence.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-UX-005,UX,The Studio does not become a second canonical semantic or workflow store.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PORT-001,PORT,Portable records contain no absolute machine paths.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PORT-002,PORT,Runtime and model bindings remain replaceable without semantic recompilation.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PORT-003,PORT,Contracts are transport- and language-neutral where practical.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PORT-004,PORT,Provider and renderer workspaces remain regenerable behind adapters.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
AIR-NFR-PORT-005,PORT,Clean-environment validation is required before release claims.,"Automated conformance test, evidence receipt, or designated independent review as applicable."
