fr_id,change_class,previous_title,current_title,previous_requirement,current_requirement,reason
FR-001,PRESERVED_AND_DEEPENED,Use current authority precedence,Use current authority precedence,The Pipeline shall read Program Control authority and the current Builder/VAE/Delegation product boundaries before accepting any executable binding.,The Pipeline shall read Program Control authority and the current Builder/VAE/Delegation product boundaries before accepting any executable binding.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-002,PRESERVED_AND_DEEPENED,Reconcile public and operator-local status,Reconcile public and operator-local status,"Before implementation authorization, the product shall reconcile the public repository status with newer operator-local receipts and publish one current program status.","Before implementation authorization, the product shall reconcile the public repository status with newer operator-local receipts and publish one current program status.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-003,PRESERVED_AND_DEEPENED,Adopt a brownfield-first implementation law,Adopt a brownfield-first implementation law,"Every proposed source module shall carry REUSE, ADAPT, ACTIVATE, REPLACE or ARCHIVE disposition against the predecessor source register.","Every proposed source module shall carry REUSE, ADAPT, ACTIVATE, REPLACE or ARCHIVE disposition against the predecessor source register.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-004,PRESERVED_AND_DEEPENED,Prohibit semantic import from the predecessor,Prohibit semantic import from the predecessor,"CMF Studio code may supply execution machinery and evidence but may not override current Category, profile, Skill, wrong-reading or Activative authority.","CMF Studio code may supply execution machinery and evidence but may not override current Category, profile, Skill, wrong-reading or Activative authority.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-005,PRESERVED_AND_DEEPENED,Preserve exact source provenance,Preserve exact source provenance,"Forked or adapted files shall preserve archive identity, source path, file hash, dependency provenance and migration decision.","Forked or adapted files shall preserve archive identity, source path, file hash, dependency provenance and migration decision.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-006,PRESERVED_AND_DEEPENED,Require replacement justification,Require replacement justification,"A greenfield replacement of a working predecessor component requires an explicit gap, contract mismatch or bounded-cost justification.","A greenfield replacement of a working predecessor component requires an explicit gap, contract mismatch or bounded-cost justification.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-007,PRESERVED_AND_DEEPENED,Load exact AtomicHarnessDefinition,Load exact AtomicHarnessDefinition,"The Pipeline shall ingest a portable AtomicHarnessDefinition package and verify schema, identity, hash, authority, lineage, category/profile and invalidation state.","The Pipeline shall ingest a portable AtomicHarnessDefinition package and verify schema, identity, hash, authority, lineage, category/profile and invalidation state.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-008,PRESERVED_AND_DEEPENED,Validate the complete Harness graph,Validate the complete Harness graph,"The intake gate shall reconcile capabilities, responsibility modules, phases, handoffs, context manifests, Skills, evaluation requirements and repair laws.","The intake gate shall reconcile capabilities, responsibility modules, phases, handoffs, context manifests, Skills, evaluation requirements and repair laws.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-009,PRESERVED_AND_DEEPENED,Compile HarnessExecutionBindingManifest,Compile HarnessExecutionBindingManifest,"A separate immutable binding shall map every executable requirement to deterministic modules, Model Programs, Agent Programs, humans, products and runtime embodiments.","A separate immutable binding shall map every executable requirement to deterministic modules, Model Programs, Agent Programs, humans, products and runtime embodiments.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-010,PRESERVED_AND_DEEPENED,Forbid semantic mutation by binding,Forbid semantic mutation by binding,"A binding may choose an implementation but may not change the Harness purpose, phase semantics, declared invariants, creative degrees of freedom or wrong-reading locks.","A binding may choose an implementation but may not change the Harness purpose, phase semantics, declared invariants, creative degrees of freedom or wrong-reading locks.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-011,PRESERVED_AND_DEEPENED,Fail on unresolved ownership,Fail on unresolved ownership,"A required capability without an explicit eligible implementation, human gate or external-product route shall block execution before any side effect.","A required capability without an explicit eligible implementation, human gate or external-product route shall block execution before any side effect.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-012,PRESERVED_AND_DEEPENED,Support supersession and invalidation,Support supersession and invalidation,"Bindings and imported Harnesses shall support immutable supersession, revocation, migration impact and historical replay.","Bindings and imported Harnesses shall support immutable supersession, revocation, migration impact and historical replay.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-013,PRESERVED_AND_DEEPENED,Compile phases into Workflow Nodes,Compile phases into Workflow Nodes,Each phase shall contain explicit Workflow Nodes that reference the capabilities they realize and the typed handoffs between them.,Each phase shall contain explicit Workflow Nodes that reference the capabilities they realize and the typed handoffs between them.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-014,PRESERVED_AND_DEEPENED,Declare four independent classifications,Declare four independent classifications,"Every Workflow Node shall declare execution actor, Capability Ownership class, workflow role and product boundary.","Every Workflow Node shall declare execution actor, Capability Ownership class, workflow role and product boundary.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-015,PRESERVED_AND_DEEPENED,Schedule dependencies deterministically,Schedule dependencies deterministically,"The scheduler shall enforce acyclic dependencies, gate conditions, eligible parallelism and deterministic ready-order behavior.","The scheduler shall enforce acyclic dependencies, gate conditions, eligible parallelism and deterministic ready-order behavior.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-016,PRESERVED_AND_DEEPENED,Validate every handoff,Validate every handoff,A downstream node may start only from a producer output that passed its declared contract and handoff validation.,A downstream node may start only from a producer output that passed its declared contract and handoff validation.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-017,PRESERVED_AND_DEEPENED,Represent humans and products explicitly,Represent humans and products explicitly,Human authority and independent product calls shall be visible Workflow Nodes rather than hidden tool calls.,Human authority and independent product calls shall be visible Workflow Nodes rather than hidden tool calls.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-018,PRESERVED_AND_DEEPENED,Emit immutable node receipts,Emit immutable node receipts,"Every node attempt shall record inputs, JIT Capsule, implementation, actions, output, validation, status, timing, cost and lineage.","Every node attempt shall record inputs, JIT Capsule, implementation, actions, output, validation, status, timing, cost and lineage.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-019,PRESERVED_AND_DEEPENED,Declare node context requirements,Declare node context requirements,"Workflow Nodes shall declare typed context slots, authority, freshness, contradiction and budget requirements.","Workflow Nodes shall declare typed context slots, authority, freshness, contradiction and budget requirements.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-020,PRESERVED_AND_DEEPENED,Compute eligibility before ranking,Compute eligibility before ranking,"The retrieval service shall exclude ineligible authority, lifecycle, Category, profile, identity, embodiment and evidence states before semantic ranking.","The retrieval service shall exclude ineligible authority, lifecycle, Category, profile, identity, embodiment and evidence states before semantic ranking.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-021,PRESERVED_AND_DEEPENED,Use task-specific hybrid retrieval,Use task-specific hybrid retrieval,"Eligible candidates shall be discovered through exact, lexical, dense, graph, visual, syntax and evidence signals appropriate to the task.","Eligible candidates shall be discovered through exact, lexical, dense, graph, visual, syntax and evidence signals appropriate to the task.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-022,PRESERVED_AND_DEEPENED,Preserve contradictions and succession,Preserve contradictions and succession,"Retrieval shall include required contradictory, failed and superseding evidence when the node contract requires it.","Retrieval shall include required contradictory, failed and superseding evidence when the node contract requires it.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-023,PRESERVED_AND_DEEPENED,Compile the existing JIT Execution Capsule,Compile the existing JIT Execution Capsule,"The Minimum Complete Context compiler shall populate the current JIT Capsule taxonomy with exact source identities, inclusion reasons and context budget.","The Minimum Complete Context compiler shall populate the current JIT Capsule taxonomy with exact source identities, inclusion reasons and context budget.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-024,PRESERVED_AND_DEEPENED,Record retrieval and context outcomes,Record retrieval and context outcomes,"Every compilation shall emit a receipt that records filters, candidates, exclusions, ranking, compression, unavailable context and downstream outcome.","Every compilation shall emit a receipt that records filters, candidates, exclusions, ranking, compression, unavailable context and downstream outcome.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-025,PRESERVED_AND_DEEPENED,Persist immutable execution events,Persist immutable execution events,"The Pipeline shall persist run, node, handoff, command, receipt and incident events in durable storage.","The Pipeline shall persist run, node, handoff, command, receipt and incident events in durable storage.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-026,PRESERVED_AND_DEEPENED,Commit state and receipt atomically,Commit state and receipt atomically,A lifecycle transition and its receipt-bearing command record shall commit as one atomic operation.,A lifecycle transition and its receipt-bearing command record shall commit as one atomic operation.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-027,PRESERVED_AND_DEEPENED,Create accepted checkpoints only after validation,Create accepted checkpoints only after validation,"A node checkpoint becomes reusable only after output validation, evidence emission and downstream eligibility pass.","A node checkpoint becomes reusable only after output validation, evidence emission and downstream eligibility pass.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-028,PRESERVED_AND_DEEPENED,Separate resume from replay,Separate resume from replay,Resume continues from the last accepted checkpoint; replay reconstructs exact historical execution from immutable identities.,Resume continues from the last accepted checkpoint; replay reconstructs exact historical execution from immutable identities.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-029,PRESERVED_AND_DEEPENED,Govern cancellation and race resolution,Govern cancellation and race resolution,"Cancellation shall prevent new work, propagate to active products/runtimes and disposition late results without losing history.","Cancellation shall prevent new work, propagate to active products/runtimes and disposition late results without losing history.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-030,PRESERVED_AND_DEEPENED,"Provide migration, backup and restore","Provide migration, backup and restore","State schemas shall support controlled migration, unsupported-version containment, backup, restore and disaster-recovery tests.","State schemas shall support controlled migration, unsupported-version containment, backup, restore and disaster-recovery tests.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-031,PRESERVED_AND_DEEPENED,Bind Canonical Skills explicitly,Bind Canonical Skills explicitly,A learned or agentic Workflow Node shall reference the exact Canonical Skill governing its stable procedure.,A learned or agentic Workflow Node shall reference the exact Canonical Skill governing its stable procedure.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-032,PRESERVED_AND_DEEPENED,Support Harness-local Skill Adaptation,Support Harness-local Skill Adaptation,A Harness may reference a governed local adaptation without mutating the Canonical Skill.,A Harness may reference a governed local adaptation without mutating the Canonical Skill.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-033,PRESERVED_AND_DEEPENED,Bind Skill Composition Recipes,Bind Skill Composition Recipes,"A phase or path may use a durable Skill Composition Recipe that assembles Skills, modules, references and runtime bindings.","A phase or path may use a durable Skill Composition Recipe that assembles Skills, modules, references and runtime bindings.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-034,PRESERVED_AND_DEEPENED,Retrieve eligible Steering Recipes,Retrieve eligible Steering Recipes,"Taste-bearing nodes shall receive only lifecycle-eligible, evidence-backed Steering Recipes matching the current state and embodiment.","Taste-bearing nodes shall receive only lifecycle-eligible, evidence-backed Steering Recipes matching the current state and embodiment.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-035,PRESERVED_AND_DEEPENED,Compile a Transformation Contract,Compile a Transformation Contract,"Every editing or composition operation shall declare must-remain-true conditions, required changes, permitted creative degrees of freedom and wrong-reading locks.","Every editing or composition operation shall declare must-remain-true conditions, required changes, permitted creative degrees of freedom and wrong-reading locks.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-036,PRESERVED_AND_DEEPENED,Apply canonical terminology,Apply canonical terminology,New implementation and documentation shall use Transformation Contract vocabulary and remove the banned defensive property terminology.,New implementation and documentation shall use Transformation Contract vocabulary and remove the banned defensive property terminology.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-037,PRESERVED_AND_DEEPENED,Register Programmed Model artifacts,Register Programmed Model artifacts,"Every artifact shall pin base model, tokenizer, checkpoint/adapter, runtime, training lineage and exact hashes.","Every artifact shall pin base model, tokenizer, checkpoint/adapter, runtime, training lineage and exact hashes.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-038,PRESERVED_AND_DEEPENED,Declare evidence-defined capability claims,Declare evidence-defined capability claims,Each learned claim shall reference a canonical Capability and an explicit Category/profile/style/provider/complexity applicability envelope.,Each learned claim shall reference a canonical Capability and an explicit Category/profile/style/provider/complexity applicability envelope.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-039,PRESERVED_AND_DEEPENED,Deploy through Model Programs,Deploy through Model Programs,"A Model Program shall bind the Programmed Model to the Workflow Node, JIT Capsule, tools, validators, evaluator, budget, fallback and receipts.","A Model Program shall bind the Programmed Model to the Workflow Node, JIT Capsule, tools, validators, evaluator, budget, fallback and receipts.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-040,PRESERVED_AND_DEEPENED,Maintain claim-specific lifecycle,Maintain claim-specific lifecycle,"Claims shall move through proposed, experimental, validated, shadow, production, deprecated, retired and revoked states independently.","Claims shall move through proposed, experimental, validated, shadow, production, deprecated, retired and revoked states independently.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-041,PRESERVED_AND_DEEPENED,Prove an advantage profile,Prove an advantage profile,"A production claim shall pass constitutional floors and demonstrate a balanced, precision, speed or consistency advantage over the approved general-model baseline.","A production claim shall pass constitutional floors and demonstrate a balanced, precision, speed or consistency advantage over the approved general-model baseline.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-042,PRESERVED_AND_DEEPENED,Route only within evidence,Route only within evidence,The resolver shall use a learned claim only when the current state is inside its applicability envelope; otherwise it shall choose another eligible owner or escalate.,The resolver shall use a learned claim only when the current state is inside its applicability envelope; otherwise it shall choose another eligible owner or escalate.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-043,PRESERVED_AND_DEEPENED,Declare candidate-search policy per claim,Declare candidate-search policy per claim,"A learned claim shall specify single-candidate, draft/revise or best-of-N behavior and its evidence basis.","A learned claim shall specify single-candidate, draft/revise or best-of-N behavior and its evidence basis.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-044,PRESERVED_AND_DEEPENED,Require meaningful diversity,Require meaningful diversity,"Multi-candidate search shall vary eligible strategy, precedent, implementation or controlled decoding rather than only the random seed.","Multi-candidate search shall vary eligible strategy, precedent, implementation or controlled decoding rather than only the random seed.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-045,PRESERVED_AND_DEEPENED,Filter candidates mechanically first,Filter candidates mechanically first,"Schema, authority, declared invariants, wrong-reading locks and tool/process gates shall reject invalid candidates before learned comparison.","Schema, authority, declared invariants, wrong-reading locks and tool/process gates shall reject invalid candidates before learned comparison.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-046,PRESERVED_AND_DEEPENED,Use independent comparative evaluation,Use independent comparative evaluation,Selection shall use an evaluator isolated from the producing implementation and calibrated to the exact Category/profile.,Selection shall use an evaluator isolated from the producing implementation and calibrated to the exact Category/profile.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-047,PRESERVED_AND_DEEPENED,Apply budget and stopping laws,Apply budget and stopping laws,"Search stops on a decisive valid winner, diminishing diversity, shared defect, budget exhaustion or human-owned taste boundary.","Search stops on a decisive valid winner, diminishing diversity, shared defect, budget exhaustion or human-owned taste boundary.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-048,PRESERVED_AND_DEEPENED,Learn from candidate portfolios,Learn from candidate portfolios,"Accepted, rejected and repaired candidates shall become immutable evidence for retrieval, recipes, evaluators and offline training.","Accepted, rejected and repaired candidates shall become immutable evidence for retrieval, recipes, evaluators and offline training.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-049,PRESERVED_AND_DEEPENED,Define renderer-neutral Composition IR,Define renderer-neutral Composition IR,"Composition IR shall represent canvas, layers, assets, text, BBOXes, hierarchy, reading order, annotations, provenance and Transformation Contract.","Composition IR shall represent canvas, layers, assets, text, BBOXes, hierarchy, reading order, annotations, provenance and Transformation Contract.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-050,PRESERVED_AND_DEEPENED,Carry BBOX plus function,Carry BBOX plus function,Every requested region shall carry normalized geometry and its declared syntactic/attention function.,Every requested region shall carry normalized geometry and its declared syntactic/attention function.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-051,PRESERVED_AND_DEEPENED,Activate PRETEXT measurement,Activate PRETEXT measurement,"A pinned PRETEXT adapter shall produce exact text line ranges, widths, heights and overflow evidence for the final font configuration.","A pinned PRETEXT adapter shall produce exact text line ranges, widths, heights and overflow evidence for the final font configuration.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-052,PRESERVED_AND_DEEPENED,Run deterministic layout solving,Run deterministic layout solving,"Geometrics shall resolve placement, collisions, text reservations, reserved regions and tolerances before rendering.","Geometrics shall resolve placement, collisions, text reservations, reserved regions and tolerances before rendering.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-053,PRESERVED_AND_DEEPENED,Compile typed Rough Annotation Cues,Compile typed Rough Annotation Cues,"Rough Notation behavior shall be represented as renderer-neutral deterministic cues with target, semantic job, timing, seed/path and style.","Rough Notation behavior shall be represented as renderer-neutral deterministic cues with target, semantic job, timing, seed/path and style.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-054,PRESERVED_AND_DEEPENED,Render actual Skia artifacts,Render actual Skia artifacts,"The Skia runtime shall render Carousels, SuperVisuals, previews and diagnostic plates to hash-addressed artifacts rather than synthetic references.","The Skia runtime shall render Carousels, SuperVisuals, previews and diagnostic plates to hash-addressed artifacts rather than synthetic references.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-055,PRESERVED_AND_DEEPENED,Enforce Carousel Category identity,Enforce Carousel Category identity,Carousel plans shall reject frame-time motion semantics and cross-category profile reuse.,Carousel plans shall reject frame-time motion semantics and cross-category profile reuse.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-056,PRESERVED_AND_DEEPENED,Compile slide-role plans,Compile slide-role plans,The runtime shall map the Activative sequence and Harness purpose to typed slide roles.,The runtime shall map the Activative sequence and Harness purpose to typed slide roles.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
