source_id,kind,exact_path,observed_sha_or_blob_sha,authority,disposition,role
SRC-STATE-001,current_state_reconciliation,CURRENT_STATE_RECONCILIATION(1).md,6e9478a31b5b3db3e4c83e86a9275ba4fe05676bb95e206dd62411af1352e905,implementation_gate_input,REFERENCE,Requires public and operator-local Builder/VAE/Delegation status reconciliation before implementation.
SRC-MIG-001,predecessor_migration_audit,CMF_STUDIO_PREDECESSOR_MIGRATION_AUDIT_V1(1).md,5912930b2abfb376aef67c140bb745845ede054b07ad6aa0e9bb77f9a06301d7,migration_evidence_only,REFERENCE,Defines brownfield reuse/adapt/rewrite/archive treatment for the CMF Studio predecessor.
SRC-MIG-002,source_reuse_crosswalk,EXACT_SOURCE_REUSE_CROSSWALK(1).csv,c8c97f5d2003d070180a7061484609b2f9c8ef990efa116914f05b4e400e7820,migration_evidence_only,REFERENCE,"Exact current, predecessor, and external source paths, hashes, dispositions, and proposed targets."
SRC-TREE-001,target_tree,PROPOSED_TARGET_FILE_TREE(1).md,6d1c195b35f225706073a989d0a0fe7d42667229bccc23bb4c141b980daaaa8e,planning_target_only,REFERENCE,Proposed fourth-product repository tree and ownership boundary.
SRC-AM-001,architecture_amendment,CONSCIOUS_ACTIVATIONS_STUDIO_ARCHITECTURE_AMENDMENT_V2_1(2).zip,9059fe3cad98c5d6ca0f9584f091ac503a5e5a9279a4a476821db816dc7603b8,proposed_program_amendment,AMENDMENT_INPUT,"Format 02 deferral, HumanResolutionEpisode, supervisory Studio, autonomy modes, timeline adoption, and Revision Compiler."
SRC-AM-002,production_activation_amendment,PA_AM_001_SEVEN_DAY_PARALLEL_PRODUCTION_ACTIVATION_V1_1(2).zip,c522c93b0f980c71354ac7e22cd37b935d6273d409403c38629b42c92cd1bef2,proposed_campaign_amendment,AMENDMENT_INPUT,"Parallel Pipeline, temporal, static, VAE, Interview Expression, GNM, and retrieval/model-program activation lanes."
SRC-SPEC-001,spec_method_library,Specs_Builder_Library(1).zip,b643d459d7fda5fccff53efd5446af515f17fec3d61ab4da419b660e0d1d988c,writing_method_evidence,ADAPT_METHOD,"PRD module, Epic/Story, CBAR hardening, and Tech Spec writing protocols; legacy product constants are not current authority."
SRC-INT-001,predecessor_interview_prd,THE_CMF_STUDIO(2).zip::05_PRD_CMF_STUDIO_INTERVIEW_FIRST.md,6534c0be726ea542e0a9821edf93c99493ebc8d957e76e80cb1799c6c8de95fd,migration_evidence_only,ADAPT,Interview-first source-to-asset product model and Complete Expression Session concepts.
SRC-INT-002,predecessor_interview_architecture,THE_CMF_STUDIO(2).zip::CCP V9 Interview-First Expression Engine.md,c9014d284080b0d927fc496f292f6c58220790bdb63aff70a004d8a42c997007,migration_evidence_only,ADAPT,"Expression capture, source truth, archetype routing, and interview-first doctrine."
SRC-INT-003,predecessor_interview_architecture,THE_CMF_STUDIO(2).zip::CCP V9.1 Expression Capture & Archetype Routing Update.md,58e92fee3f9486ab524d1229c4759566f760b6cc91472aff279e457b0b52482b,migration_evidence_only,ADAPT,Expression Moment and archetype-routing refinements.
SRC-EXT-016,external_reference,github://calesthio/OpenMontage,3355e890d6fc5710ba8903df0406d634ca74fed8,research_evidence_only,REFERENCE_ADOPTION_REVIEW,"Agentic pipeline manifests, stage skills, tool registry, checkpoints, talking-head path, and production QA; AGPL boundary."
SRC-EXT-017,external_reference,github://browser-use/video-use,fa4b776d94cbc6ae500c1a8e2c1be9b2486a93d2,research_evidence_only,REFERENCE,"Packed phrase transcript, word-boundary EDL, FFmpeg correctness, rendered cut evaluation, bounded repair, and project memory."
SRC-EXT-018,external_reference,github://remotion-dev/remotion,90118b2449ade4dae0e982e63677c83e4d50deb9,research_evidence_only,REFERENCE_ADOPTION_REVIEW,"React/frame source-of-truth rendering, Player, batch rendering, and editor integration."
SRC-EXT-019,external_reference,github://heygen-com/hyperframes,a94b9cd123892d2911f4b9787b45f6e3f157f548,research_evidence_only,REFERENCE,"Deterministic HTML/CSS/GSAP motion blocks, skills, registry, Studio, and Player."
SRC-EXT-020,external_reference,github://UVA-Computer-Vision-Lab/OmniShotCut,e994cba23347a110a8c647eb09153c9976674677,research_evidence_only,REFERENCE,Shot-boundary and transition classification.
SRC-EXT-021,external_reference,github://openvideodev/video-editor,8dc132dee6c1594bb65bfa461be58c4faca723a4,research_evidence_only,REFERENCE_ADOPTION_REVIEW,"Multi-track timeline, drag/split/trim/snapping, interactive canvas, client-side preview/export patterns."
SRC-EXT-022,external_reference,github://lineCode/ai-video-editor,97d30f3729a4dcb92cf51eba45d90f3279b51eb9,research_evidence_only,REFERENCE_ADOPTION_REVIEW,"AI Copilot controlling scripts, visuals, and timeline; UI pattern only."
SRC-EXT-023,external_reference,github://SamurAIGPT/AI-Youtube-Shorts-Generator,7b97d3d1e0cfae0eaa8c4b76c251b9e2c801b410,research_evidence_only,REFERENCE,"Long-video chunking with overlap, deduplication, caching, structured JSON, and vertical crop patterns."
SRC-EXT-024,external_reference,github://GVCLab/CutClaw,624a504ba79b9d118b444506d2af278f6f1dc30a,research_evidence_only,REFERENCE,"Long-footage deconstruction, shot_plan/shot_point, parallel selection, and music-sync branch."
SRC-EXT-025,external_reference,github://MangoLion/stretchystudio,ef656d8f51c349f909ad25891dcfde30929b1c54,research_evidence_only,REFERENCE,"Layered PSD rigging, mesh deformation, keyframe timeline, shape keys, and 2D animation embodiment."
SRC-EXT-026,external_reference,github://google/GNM,af3c7b65a67565e157d7b0827e800b51293f810d,research_evidence_only,REFERENCE,"Apache-2.0 parametric 3D head geometry with identity, expression, pose, gaze, and internal anatomy controls; VAE-only bounded route."
SRC-EXT-027,external_reference,github://GoogleCloudPlatform/knowledge-catalog/okf,55d0a46cc988e99aa35cd027964d6278a4f93f35,research_evidence_only,REFERENCE,Portable Markdown/YAML knowledge representation with progressive disclosure and links; base for CMF-OKF profile.
SRC-EXT-028,external_reference,hf://nvidia/Nemotron-3-Embed,,research_evidence_only,REFERENCE_BENCHMARK,Candidate text/code embedding ranker after deterministic eligibility; not visual or authority layer.
SRC-DOCT-001,doctrine_source,THE_CMF_STUDIO(2).zip::Matrix of Edging.md,7ba1858cd9238a63f32d28e9cc8e7bbe306ba82ac5fa5af4a0346128aa3b6ebb,migration_evidence_to_reconcile,ADAPT,"Matrix of Edging, coalition signatures, edge products, and Anti-Centroid laws."
SRC-DOCT-002,archetype_source,THE_CMF_STUDIO(2).zip::CCP Archetype System Migration Proposition.docx.md,2d7aa11b72c83a95d9240784978e3b9af4944a3e037f18746f8b204bc3287188,migration_evidence_to_reconcile,ADAPT,"Archetype, asset derivative, render-route, and Voice DNA constraints."
SRC-DOCT-003,brand_source,THE_CMF_STUDIO(2).zip::CCP_CMF_Brand_Genesis_and_Micro_Semiotic_Pipeline_V3.md,61710fe56484b569ce28ddefadbb4c8047e9ae48cadf25291423cf4f200e3dcb,migration_evidence_to_reconcile,ADAPT,"Brand Genesis Session, Brand Context Version, Voice DNA, Visual DNA, Negative Space, and micro-semiotic context."
SRC-DOCT-004,creative_architecture_source,THE_CMF_STUDIO(2).zip::CCP_Creative_Pipeline_Architecture_V2.md,8b9175d8631eff50b7f6c959ad245b87f9b307577b51e6dd4d2f622fd44175e8,migration_evidence_to_reconcile,ADAPT,"Composition-before-editing, visual negative space, source fidelity, and category production grammar."
SRC-DOCT-005,methodology_source,THE_CMF_STUDIO(2).zip::docs/methodology/CCV_Combinatorial_Controlled_Variation.md,0869ff50e4bdaba3dc1854183100826d0de9568b9ed5558bf68b4590834a62c4,migration_evidence_to_reconcile,ADAPT,"CCV axis-labeled variation, coalition composition, and controlled emergence."
SRC-DOCT-006,methodology_source,THE_CMF_STUDIO(2).zip::docs/methodology/RSCS_Recursive_Signal_Compression_Systems.md,bb8ebfcd5c519649b4363731cf11434ce600c71fb5e1d020abb59cbb51b8a330,migration_evidence_to_reconcile,ADAPT,"RSCS saturation, collision, compression, evaluation, recursion, and signal-distillation laws."
SRC-DOCT-007,primitive_registry_source,THE_CMF_STUDIO(2).zip::docs/registry-specs/Meaning_Primitive_Registry_Spec.md,1851f4e8e07beb6e1886e91f45d8bb12cf38d6fc8af8f20e314788d6d47d7e5f,migration_evidence_to_reconcile,ADAPT,"Meaning Primitive Families, activation, misuse, synergy, conflict, and output control."
SRC-DOCT-008,primitive_registry_source,THE_CMF_STUDIO(2).zip::docs/registry-specs/Experience_Primitive_Registry_Spec.md,5cb5f1b568c84e41bbbf2ccbb18b938ccee5de1c6cab5cbee96343d88adaee72,migration_evidence_to_reconcile,ADAPT,Experience Primitive Families and delivery/user-state effects.
SRC-DOCT-009,primitive_contract_source,THE_CMF_STUDIO(2).zip::src/ccp_studio/contracts/primitive_coalition.py,990735d588e03004cbee780cea7e3623361a7fa70991e898ff13f173618cbf08,brownfield_contract_evidence,ADAPT,"Primitive Binding, Coalition Contract, coalition signature, misuse risk, and Primitive Evaluation Receipt."
