story_id,epic_id,story_title,primary_fr_ids,candidate_tech_specs,source_refs
ST-01.01,E01,Reconcile authority and predecessor state,FR-001;FR-002;FR-003;FR-004;FR-005;FR-006;FR-117,TS-AHP-001,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034;SRC-STATE-001;SRC-MIG-001;SRC-MIG-002
ST-01.02,E01,Admit an Activative Interview session,FR-121;FR-122;FR-125,TS-INT-001,SRC-INT-001;SRC-INT-002;SRC-INT-003;SRC-AM-002;SRC-AM-001
ST-01.03,E01,Admit an imported interview and align it,FR-123;FR-124,TS-INT-001;TS-INT-002,SRC-INT-001;SRC-AM-002;SRC-EXT-017;SRC-EXT-023;SRC-EXT-020
ST-01.04,E01,"Version, supersede, and invalidate source packages",FR-126,TS-INT-001,SRC-CUR-010;SRC-AM-001;SRC-AM-002
ST-02.01,E02,Separate tag provenance and compile phrase context,FR-127;FR-128,TS-INT-004;TS-INT-002,SRC-INT-002;SRC-INT-003;SRC-AM-002;SRC-EXT-017;SRC-EXT-023;SRC-INT-001
ST-02.02,E02,Build shot maps and keyframe references,FR-129,TS-INT-003,SRC-EXT-020;SRC-EXT-017;SRC-INT-001
ST-02.03,E02,Discover and approve Expression Moments,FR-130;FR-131,TS-INT-004,SRC-INT-001;SRC-INT-002;SRC-INT-003;SRC-AM-002;SRC-AM-001
ST-02.04,E02,Compile the Expression Ingredient Inventory and Asset Package Spec,FR-132,TS-INT-005,SRC-INT-001;SRC-INT-002;SRC-INT-003;SRC-AM-002
ST-03.01,E03,Ingest and bind an Atomic Harness,FR-007;FR-008;FR-009;FR-010;FR-011;FR-012,TS-AHP-002,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001
ST-03.02,E03,Compile the content batch and derivative jobs,FR-133;FR-135,TS-AHP-003,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-CUR-004;SRC-CUR-007
ST-03.03,E03,"Route archetypes, reuse analysis, and prevent duplicate outputs",FR-134;FR-136,TS-AHP-003,SRC-INT-003;SRC-AM-002;SRC-EXT-023
ST-03.04,E03,Execute explicit nodes and bounded production roles,FR-013;FR-014;FR-015;FR-016;FR-017;FR-018;FR-137,TS-AHP-004,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003;SRC-MIG-001;SRC-INT-001
ST-03.05,E03,Propagate upstream change selectively,FR-138,TS-AHP-005,SRC-CUR-010;SRC-AM-001;SRC-AM-002
ST-04.01,E04,Adopt the canonical VideoEditProgram and source intake,FR-067;FR-068,TS-VID-001,SRC-CUR-007;SRC-LEG-006;SRC-LEG-007;SRC-LEG-008;SRC-LEG-009;SRC-LEG-010;SRC-LEG-011;SRC-LEG-012;SRC-AM-001;SRC-EXT-017;SRC-EXT-018;SRC-EXT-019;SRC-INT-001;SRC-INT-002;SRC-INT-003;SRC-AM-002;SRC-EXT-020;SRC-EXT-023
ST-04.02,E04,Select and compile the source-backed A-roll,FR-069;FR-139;FR-140;FR-141,TS-VID-002,SRC-AM-002;SRC-EXT-017;SRC-EXT-020;SRC-EXT-023;SRC-EXT-024;SRC-LEG-006;SRC-LEG-007;SRC-EXT-018;SRC-EXT-019;SRC-INT-001
ST-04.03,E04,"Compile captions, evidence, B-roll, audio, and motion support",FR-070;FR-142,TS-VID-003,SRC-EXT-017;SRC-EXT-018;SRC-EXT-019;SRC-EXT-021;SRC-EXT-022;SRC-LEG-008;SRC-LEG-009;SRC-LEG-010;SRC-CUR-014
ST-04.04,E04,Bind temporal embodiments and enforce FFmpeg correctness,FR-071;FR-072,TS-VID-004,SRC-EXT-018;SRC-EXT-019;SRC-EXT-025;SRC-LEG-013;SRC-LEG-014;SRC-LEG-015;SRC-EXT-017;SRC-LEG-011;SRC-LEG-012
ST-04.05,E04,"Render and export through Remotion, HyperFrames, and FFmpeg",FR-073;FR-074;FR-075;FR-076;FR-077;FR-078,TS-VID-005,SRC-LEG-013;SRC-LEG-014;SRC-LEG-015;SRC-LEG-016;SRC-LEG-017;SRC-LEG-018;SRC-EXT-007;SRC-EXT-012;SRC-EXT-013;SRC-EXT-014
ST-04.06,E04,Evaluate rendered boundaries and repair the short locally,FR-143;FR-144,TS-VID-006,SRC-EXT-017;SRC-CUR-018;SRC-AM-001;SRC-CUR-019
ST-05.01,E05,Render deterministic source-grounded static compositions,FR-049;FR-050;FR-051;FR-052;FR-053;FR-054,TS-STA-001,SRC-CUR-014;SRC-LEG-004;SRC-LEG-005;SRC-LEG-028;SRC-LEG-029;SRC-LEG-033;SRC-LEG-036;SRC-EXT-008;SRC-EXT-009;SRC-EXT-015
ST-05.02,E05,Produce a source-grounded Carousel,FR-055;FR-056;FR-057;FR-058;FR-059;FR-060;FR-145,TS-CAR-001,SRC-CUR-007;SRC-LEG-024;SRC-LEG-025;SRC-LEG-037;SRC-LEG-038;SRC-LEG-039;SRC-INT-001
ST-05.03,E05,Produce a source-grounded SuperVisual,FR-061;FR-062;FR-063;FR-064;FR-065;FR-066;FR-146,TS-SPV-001,SRC-CUR-007;SRC-LEG-026;SRC-LEG-027;SRC-LEG-040;SRC-LEG-041;SRC-INT-001
ST-05.04,E05,Produce a truthful non-Format-02 animation derivative,FR-147;FR-148,TS-ANI-001,SRC-EXT-019;SRC-EXT-025;SRC-AM-001;SRC-INT-001
ST-05.05,E05,Evaluate continuity and export derivative lineage,FR-149;FR-150,TS-BATCH-001,SRC-CUR-020;SRC-INT-001;SRC-CUR-022;SRC-AM-001
ST-06.01,E06,"Persist durable state, checkpoints, replay, and cancellation",FR-025;FR-026;FR-027;FR-028;FR-029;FR-030,TS-AHP-006,SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003
ST-06.02,E06,Fingerprint and sandbox every node,FR-103;FR-104;FR-105,TS-AHP-007,SRC-CUR-010;SRC-EXT-001
ST-06.03,E06,Continuously assure and contain execution regressions,FR-106;FR-107;FR-108,TS-AHP-007,SRC-CUR-010;SRC-EXT-001
ST-07.01,E07,Compile authority-first hybrid retrieval and JIT context,FR-019;FR-020;FR-021;FR-022;FR-023;FR-024,TS-RET-001,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005
ST-07.02,E07,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",FR-031;FR-032;FR-033;FR-034;FR-035;FR-036,TS-SKL-001,SRC-CUR-009;SRC-CUR-020
ST-07.03,E07,Register and route Programmed Model claims,FR-037;FR-038;FR-039;FR-040;FR-041;FR-042,TS-PM-001,SRC-CUR-008;SRC-CUR-015;SRC-EXT-001;SRC-EXT-002;SRC-EXT-003;SRC-EXT-004;SRC-EXT-006
ST-07.04,E07,Search and compare candidates purposefully,FR-043;FR-044;FR-045;FR-046;FR-047;FR-048,TS-AHP-008,SRC-CUR-018;SRC-EXT-001
ST-08.01,E08,Delegate visual demand and consume evaluated geometry,FR-085;FR-086;FR-090,TS-DEL-001,SRC-CUR-014;SRC-CUR-016;SRC-CUR-022;SRC-AM-002;SRC-INT-001;SRC-CUR-018;SRC-CUR-019
ST-08.02,E08,"Preserve VAE ownership of SAM3, Lucida, layered providers, and GNM",FR-087;FR-088;FR-089,TS-VAE-BOUND-001,SRC-CUR-013;SRC-CUR-015;SRC-CUR-016;SRC-MIG-001;SRC-EXT-026;SRC-AM-002
ST-09.01,E09,Run deterministic and independent evaluation,FR-091;FR-092,TS-EVAL-001,SRC-CUR-018;SRC-CUR-019;SRC-LEG-019;SRC-LEG-020;SRC-LEG-021;SRC-LEG-022;SRC-LEG-023
ST-09.02,E09,Reparse rendered syntax and diagnose the responsible layer,FR-093;FR-094,TS-EVAL-002,SRC-CUR-018;SRC-CUR-019;SRC-LEG-019;SRC-LEG-020;SRC-LEG-021;SRC-LEG-022;SRC-LEG-023
ST-09.03,E09,Repair only declared units and escalate human-owned conflicts,FR-095;FR-096,TS-EVAL-003,SRC-CUR-018;SRC-CUR-019;SRC-LEG-019;SRC-LEG-020;SRC-LEG-021;SRC-LEG-022;SRC-LEG-023
ST-10.01,E10,Persist complete production episodes and causal attribution,FR-097;FR-098,TS-LEARN-001,SRC-CUR-020;SRC-AM-001;SRC-AM-002;SRC-EXT-001;SRC-EXT-005
ST-10.02,E10,Build operator-authorized datasets and promote recipes safely,FR-099;FR-100;FR-101;FR-102,TS-LEARN-002,SRC-CUR-020;SRC-AM-001;SRC-AM-002
ST-10.03,E10,Compile natural-language revision requests,FR-151;FR-153,TS-CAS-001,SRC-AM-001;SRC-AM-002;SRC-CUR-010
ST-10.04,E10,Commit direct manipulation through selective rerun,FR-152;FR-154,TS-CAS-002,SRC-AM-001;SRC-EXT-021;SRC-EXT-022;SRC-CUR-019;SRC-EXT-017
ST-10.05,E10,Capture HumanResolutionEpisodes and use them as scoped programming material,FR-155;FR-156,TS-CAS-003,SRC-AM-001;SRC-CUR-020
ST-10.06,E10,Operate the source-to-batch Control Tower,FR-109;FR-110;FR-112;FR-113;FR-114,TS-CAS-004,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-MIG-001;SRC-EXT-021;SRC-EXT-022;SRC-CUR-020;SRC-EXT-027;SRC-EXT-028;SRC-EXT-018;SRC-EXT-019;SRC-EXT-026
ST-10.07,E10,Launch campaigns and govern autonomy and exceptions,FR-111;FR-157;FR-158;FR-159;FR-160,TS-CAS-005,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-MIG-001
ST-10.08,E10,Ship through bound Studio surfaces and publication authority,FR-161;FR-162,TS-CAS-006,SRC-AM-001;SRC-AM-002;SRC-CUR-004;SRC-CUR-010
ST-11.01,E11,Enforce Format 02 deferral and preserve historical evidence,FR-079;FR-080;FR-081;FR-082;FR-083;FR-084,TS-REL-001,SRC-AM-001;SRC-CUR-006;SRC-CUR-021;SRC-MIG-001;SRC-EXT-018;SRC-EXT-019;SRC-EXT-025
ST-11.02,E11,Prove the real source-first Release 1 slice,FR-115;FR-116,TS-REL-002,SRC-INT-001;SRC-AM-001;SRC-AM-002;SRC-EXT-017;SRC-MIG-001;SRC-CUR-018;SRC-CUR-019
ST-11.03,E11,Expand boundaries and maintain truthful claim states,FR-118;FR-119,TS-REL-002,SRC-CUR-003;SRC-AM-001;SRC-AM-002;SRC-CUR-021;SRC-MIG-001
ST-11.04,E11,Generate the canonical implementation handoff,FR-120,TS-REL-002,SRC-MIG-001;SRC-MIG-002;SRC-TREE-001;SRC-SPEC-001
ST-12.01,E12,Declare role-in-tension and compile Matrix of Edging,FR-163;FR-164,TS-ARC-001,SRC-DOCT-001;SRC-INT-002;SRC-INT-003
ST-12.02,E12,Compile the archetype coalition,FR-165,TS-ARC-001,SRC-DOCT-002;SRC-DOCT-005
ST-12.03,E12,Write and approve the Guest Voice DNA Final Script,FR-166;FR-167,TS-ARC-001,SRC-DOCT-002;SRC-DOCT-003;SRC-DOCT-006
ST-12.04,E12,Preserve doctrine lineage across embodiments,FR-168,TS-ARC-001,SRC-DOCT-001;SRC-DOCT-002;SRC-DOCT-009
ST-12.05,E12,Query Primitive Families and bind candidates,FR-169;FR-170,TS-PRIM-001,SRC-DOCT-007;SRC-DOCT-008;SRC-DOCT-009
ST-12.06,E12,Compile coalition signature and Edge Product,FR-171;FR-172,TS-PRIM-001,SRC-DOCT-001;SRC-DOCT-005;SRC-DOCT-009
ST-12.07,E12,Retrieve Steering Recipes from the coalition,FR-173,TS-PRIM-001,SRC-CUR-020;SRC-DOCT-009;SRC-EXT-027
ST-12.08,E12,"Evaluate primitive coverage, misuse, and fatality",FR-174,TS-PRIM-001,SRC-DOCT-007;SRC-DOCT-008;SRC-DOCT-009
ST-13.01,E13,"Bind Brand Context, Voice DNA, and Visual DNA",FR-175;FR-176,TS-BRAND-001,SRC-DOCT-002;SRC-DOCT-003;SRC-DOCT-004
ST-13.02,E13,Run RSCS Distillation Layers,FR-177,TS-BRAND-001,SRC-DOCT-006;SRC-DOCT-001
ST-13.03,E13,Generate controlled variation through CCV and SDA/SFL,FR-178;FR-179,TS-BRAND-001,SRC-DOCT-005;SRC-DOCT-006;SRC-DOCT-007;SRC-DOCT-008
ST-13.04,E13,"Prove Source Fidelity, Negative Space, and Edge Integrity",FR-180,TS-BRAND-001,SRC-DOCT-001;SRC-DOCT-003;SRC-DOCT-004;SRC-DOCT-006
