requirement_id,type,feature_id,title,decisions,user_journeys,cross_cutting_nfrs,source_file
FR-001,FR,F01,Select one explicit compilation target,D004;D006,UJ-01,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-002,FR,F01,Create a stable run identity,D005;D025,UJ-01,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-003,FR,F01,Enforce a typed lifecycle state machine,D006;D027,UJ-01;UJ-09,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-004,FR,F01,Apply target-specific lifecycle profiles,D004;D006,UJ-01,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-005,FR,F01,Govern lifecycle waivers,D002;D006;D027,UJ-09,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-006,FR,F01,Emit an event for every authoritative transition,D025,UJ-09,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-007,FR,F01,Resume without replaying human decisions,D010;D025,UJ-04,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-008,FR,F01,Enforce the Builder product boundary,D001;D029;D033,UJ-11,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-009,FR,F02,Define target-specific source profiles,D005;D006,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-010,FR,F02,Run source-readiness diagnostics before initialization,D005,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-011,FR,F02,Read directories and archives without mutating sources,D005;D028,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-012,FR,F02,Require a real target candidate boundary,D005,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-013,FR,F02,Create an immutable source lock,D005;D025,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-014,FR,F02,Build a queryable evidence index,D003;D005,UJ-01;UJ-03,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-015,FR,F02,Inventory every target specimen,D007;D023,UJ-02,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-016,FR,F02,Evaluate a measurable saturation contract,D003;D007,UJ-01;UJ-02,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-017,FR,F02,Classify evidence gaps and authority conflicts,D005;D007,UJ-01;UJ-09,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-018,FR,F02,Issue typed saturation outcomes,D007;D027,UJ-01;UJ-09,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-019,FR,F03,Normalize every visual specimen,D007,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-020,FR,F03,Detect duplicate and near-duplicate visual evidence,D007;D023,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-021,FR,F03,Produce a typed specimen-level visual syntactic parse,D007;D012,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-022,FR,F03,Use a canonical parsing ontology with category adaptations,D030;D031,UJ-02;UJ-06,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-023,FR,F03,Measure normalized component geometry,D007;D012,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-024,FR,F03,Build a spatial relationship graph,D007;D014,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-025,FR,F03,Parse hierarchy and reading order,D007,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-026,FR,F03,Classify composition variables,D007;D008,UJ-02;UJ-03,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-027,FR,F03,Parse temporal syntax for time-based evidence,D030;D031,UJ-02;UJ-06,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-028,FR,F03,Separate BBOX observation from WHY hypotheses,D007;D011,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-029,FR,F03,Induce cross-specimen visual grammar,D007;D008,UJ-02;UJ-03,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-030,FR,F03,Draft category-native sequence grammar,D007;D030;D031,UJ-02;UJ-06,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-031,FR,F03,Draft Activative hypotheses after syntax,D007;D030,UJ-02;UJ-04,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-032,FR,F04,Compare candidate product boundaries,D008,UJ-03,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-033,FR,F04,Assign one typed atomicity status,D008,UJ-03,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-034,FR,F04,Explain merge and split recommendations,D008;D033,UJ-03,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-035,FR,F04,Assess wrong-boundary risk,D008;D027,UJ-03,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-036,FR,F04,Require human atomicity ratification,D002;D008,UJ-03,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-037,FR,F04,Compile a Draft Harness Model,D009;D011,UJ-04,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-038,FR,F04,Mark the Draft Harness Model unratified,D009;D011,UJ-04,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-039,FR,F04,"Expose gaps, confidence, and alternatives",D003;D009,UJ-04,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-040,FR,F04,Freeze the ratified boundary for Genesis,D008;D010;D033,UJ-04,NFR-TRACE-001;NFR-TRACE-004;NFR-CAT-001;NFR-CAT-002;NFR-EVAL-003,prd/05-features/F04-atomicity-draft-harness-model.md
FR-041,FR,F05,Define typed Genesis decision nodes,D010;D011,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-042,FR,F05,Unlock only dependency-ready decisions,D010;D019,UJ-04;UJ-09,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-043,FR,F05,Ask one primary constitutional question per turn,D010,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-044,FR,F05,Present an evidence-backed recommendation,D002;D010,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-045,FR,F05,Record human answer and final decision separately,D002;D010,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-046,FR,F05,Update the Harness IR transactionally,D010;D011,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-047,FR,F05,Reopen affected decisions on contradiction,D010;D026,UJ-04;UJ-09,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-048,FR,F05,Support provisional autonomous drafting with ratification,D002;D010;D027,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-049,FR,F05,Define a cascade-locked terminal state,D010;D027,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-050,FR,F05,Persist complete decision receipts and resumable memory,D010;D025,UJ-04,NFR-REL-002;NFR-TRACE-002;NFR-TRACE-004;NFR-UX-002;NFR-OBS-002,prd/05-features/F05-dependency-driven-genesis.md
FR-051,FR,F06,Maintain one canonical typed Harness IR,D011,UJ-04;UJ-11,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-052,FR,F06,Attach provenance and authority metadata to material values,D007;D011,UJ-02;UJ-04,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-053,FR,F06,Version IR schemas and migrations,D011;D028,UJ-12,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-054,FR,F06,Compile sharded human-readable specifications,D011;D029,UJ-11,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-055,FR,F06,Compile OpenSpec as a governed view,D011;D028,UJ-11,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-056,FR,F06,Compile machine artifacts from the same IR,D011;D029,UJ-05;UJ-11,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-057,FR,F06,Protect generated authoritative artifacts from silent manual drift,D011;D033,UJ-11,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-058,FR,F06,Bind artifacts to compiler and source hashes,D011;D021;D029,UJ-08;UJ-11,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-059,FR,F06,Validate cross-artifact consistency and completeness,D003;D011;D027,UJ-11;UJ-12,NFR-REL-001;NFR-REL-003;NFR-TRACE-001;NFR-TRACE-003;NFR-MAINT-001,prd/05-features/F06-canonical-harness-ir.md
FR-060,FR,F07,Inventory every required capability,D012,UJ-05,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-061,FR,F07,Assign an explicit capability ownership type,D012,UJ-05,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-062,FR,F07,Use reliability and cost criteria for ownership,D003;D012,UJ-05,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-063,FR,F07,Represent hybrid capability pipelines,D007;D012,UJ-02;UJ-05,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-064,FR,F07,Compile responsibility-centered modules,D015;D033,UJ-05;UJ-11,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-065,FR,F07,Declare test seams for every module,D015,UJ-11,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-066,FR,F07,Compile a harness-specific Phase Graph,D013,UJ-05;UJ-06,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-067,FR,F07,Represent sequential and parallel phase dependencies,D013;D025,UJ-05,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-068,FR,F07,Compile a phase-specific Context Graph,D013;D020,UJ-07,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-069,FR,F07,Use versioned typed phase handoff contracts,D014,UJ-05;UJ-07,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-070,FR,F07,Prohibit silent downstream rewriting,D014;D026,UJ-10,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-071,FR,F07,Validate ownership and dependency impact,D012;D013;D014;D026,UJ-05;UJ-10,NFR-ARCH-001;NFR-ARCH-002;NFR-REL-004;NFR-TEST-001;NFR-PORT-002,prd/05-features/F07-capability-module-phase-contract.md
FR-072,FR,F08,Maintain a versioned reference registry,D016;D019,UJ-07,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-073,FR,F08,Support explicit loading policies,D016,UJ-07,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-074,FR,F08,Define influence boundaries for references,D016;D021,UJ-06;UJ-08,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-075,FR,F08,Compile progressive disclosure pointers,D016;D017;D020,UJ-07,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-076,FR,F08,Govern SPR as phase-local creative priming,D016;D017;D030,UJ-06;UJ-07,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-077,FR,F08,Compile a Context Budget Policy per phase,D020,UJ-07,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-078,FR,F08,Rank context by functional necessity,D020,UJ-07,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-079,FR,F08,Block rather than silently truncate required context,D020;D033,UJ-07;UJ-09,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-080,FR,F08,Emit a complete context manifest,D018;D020;D025,UJ-07;UJ-09,NFR-PERF-002;NFR-PERF-003;NFR-TRACE-001;NFR-SEC-002;NFR-MAINT-002,prd/05-features/F08-reference-spr-context.md
FR-081,FR,F09,Maintain a Canonical Skill Capability Registry,D017;D021,UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-082,FR,F09,Organize canonical skills by authority lane,D012;D017,UJ-05,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-083,FR,F09,Track skill maturity and plasticity,D021,UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-084,FR,F09,Run a formal skill necessity and capability-gap test,D012;D017;D033,UJ-05;UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-085,FR,F09,"Prefer reuse, adaptation, or adapter composition",D017,UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-086,FR,F09,Compile a typed Skill Design Brief,D017;D019,UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-087,FR,F09,Use leading words as tested behavioral anchors,D017;D021,UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-088,FR,F09,Compile portable progressively disclosed skill packages,D016;D017,UJ-07;UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-089,FR,F09,Bind skill packages to evaluation assets,D021,UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-090,FR,F09,"Detect skill no-ops, sediment, and redundancy",D017;D021;D033,UJ-08,NFR-EVAL-001;NFR-EVAL-002;NFR-TRACE-003;NFR-MAINT-002;NFR-PORT-001,prd/05-features/F09-canonical-skill-ecology.md
FR-091,FR,F10,Represent harness-local skill adaptations,D017,UJ-07;UJ-08,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-092,FR,F10,Define Skill Composition Recipes,D017,UJ-07,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-093,FR,F10,Compile runtime binding schemas,D019,UJ-07,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-094,FR,F10,Assemble capsules through deterministic code,D018,UJ-07,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-095,FR,F10,Resolve binding dependencies before compilation,D019,UJ-07,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-096,FR,F10,Apply typed authority and precedence rules,D019,UJ-07;UJ-09,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-097,FR,F10,Enforce approved degradation policies,D019;D027,UJ-07,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-098,FR,F10,Compile Minimum Complete Context,D020,UJ-07,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
FR-099,FR,F10,Emit a complete JIT capsule package,D018;D020,UJ-07,NFR-REL-001;NFR-PERF-002;NFR-PERF-003;NFR-TRACE-003;NFR-PORT-002,prd/05-features/F10-skill-composition-jit-capsules.md
